country,year,month,lat,lon,TAVG,TMAX,TMIN,PRCP,SNOW,SNWD
Puerto Rico [United States],1996,3,18.4325,-66.0108,26.135483870967747,29.98064516129033,22.290322580645157,1.6870967741935483,0.0,0.0
Puerto Rico [United States],1996,4,18.4325,-66.0108,26.128333333333334,29.58999999999999,22.666666666666664,4.266666666666667,0.0,0.0
Puerto Rico [United States],1996,5,18.4325,-66.0108,25.38,28.52,22.240000000000002,2.02,0.0,0.0
Puerto Rico [United States],1996,6,18.4325,-66.0108,27.253333333333337,30.276666666666674,24.23,5.1,0.0,0.0
Puerto Rico [United States],1996,7,18.4325,-66.0108,27.514516129032252,30.33870967741936,24.69032258064515,6.264516129032258,0.0,0.0
Puerto Rico [United States],1996,8,18.4325,-66.0108,27.66612903225806,30.71612903225807,24.616129032258065,5.6967741935483875,0.0,0.0
Puerto Rico [United States],1996,9,18.4325,-66.0108,27.641666666666666,30.713333333333335,24.569999999999997,12.840000000000002,0.0,0.0
Puerto Rico [United States],1996,10,18.4325,-66.0108,27.556451612903235,30.838709677419356,24.274193548387093,2.0903225806451613,0.0,0.0
Puerto Rico [United States],1996,11,18.4325,-66.0108,25.998333333333335,28.723333333333322,23.27333333333333,6.763333333333335,0.0,0.0
Puerto Rico [United States],1996,12,18.4325,-66.0108,24.805000000000003,27.55333333333333,22.05666666666667,2.786666666666666,0.0,0.0
Puerto Rico [United States],1997,1,18.4325,-66.0108,24.545161290322575,27.529032258064518,21.56129032258065,3.2838709677419353,0.0,0.0
Puerto Rico [United States],1997,2,18.4325,-66.0108,24.45892857142857,27.300000000000008,21.61785714285714,4.160714285714284,0.0,0.0
Puerto Rico [United States],1997,3,18.4325,-66.0108,24.795161290322575,28.18709677419354,21.40322580645162,1.5032258064516124,0.0,0.0
Puerto Rico [United States],1997,4,18.4325,-66.0108,26.79333333333333,30.77333333333333,22.813333333333325,0.07333333333333332,0.0,0.0
Puerto Rico [United States],1997,5,18.4325,-66.0108,27.4983870967742,31.329032258064526,23.66774193548386,2.7677419354838704,0.0,0.0
Puerto Rico [United States],1997,6,18.4325,-66.0108,28.554999999999993,31.97333333333335,25.13666666666667,0.8333333333333334,0.0,0.0
Puerto Rico [United States],1997,7,18.4325,-66.0108,28.35967741935484,31.703225806451627,25.016129032258064,3.8935483870967738,0.0,0.0
Puerto Rico [United States],1997,8,18.4325,-66.0108,28.374193548387098,31.60645161290324,25.14193548387097,5.622580645161291,0.0,0.0
Puerto Rico [United States],1997,9,18.4325,-66.0108,28.446666666666665,31.746666666666684,25.146666666666665,3.016666666666666,0.0,0.0
Puerto Rico [United States],1997,10,18.4325,-66.0108,28.067857142857147,31.157142857142865,24.978571428571428,2.6999999999999993,0.0,0.0
