,Year,Month,AvgDryBulbTemp_Cincinnati,MinDryBulbTemp_Cincinnati,MaxDryBulbTemp_Cincinnati,DECADE
449,1985,6,294.2372245338267,280.3722222222222,303.15,1980
450,1985,7,296.9866188769417,287.59444444444443,305.92777777777775,1980
451,1985,8,295.36475507765897,286.4833333333333,305.92777777777775,1980
452,1985,9,292.8212962962967,277.59444444444443,305.92777777777775,1980
453,1985,10,288.1971063257069,274.81666666666666,301.4833333333333,1980
454,1985,11,282.8884259259257,269.26111111111106,295.92777777777775,1980
455,1985,12,270.29253495714977,254.2611111111111,287.0388888888889,1980
456,1986,1,272.35549581839905,255.3722222222222,287.59444444444443,1980
457,1986,2,275.0250000000005,256.4833333333333,291.4833333333333,1980
458,1986,3,280.33563321385935,262.0388888888889,300.92777777777775,1980
459,1986,4,286.21712962962994,268.7055555555555,303.15,1980
460,1986,5,291.31405667412366,273.15,302.59444444444443,1980
461,1986,6,295.7647426981924,282.59444444444443,307.0388888888889,1980
462,1986,7,298.3478793309445,284.26111111111106,307.59444444444443,1980
463,1986,8,295.2077239419777,279.81666666666666,305.3722222222222,1980
464,1986,9,294.04429012345713,281.4833333333333,304.26111111111106,1980
465,1986,10,286.46839904420585,273.15,301.4833333333333,1980
466,1986,11,279.208641975309,262.0388888888889,295.3722222222222,1980
467,1986,12,274.1235378138628,263.15,287.59444444444443,1980
468,1987,1,272.21959378733607,255.3722222222222,286.4833333333333,1980
469,1987,2,275.93852513227574,263.15,287.0388888888889,1980
470,1987,3,280.19898446834026,266.4833333333333,298.15,1980
471,1987,4,284.9779320987658,268.7055555555555,302.59444444444443,1980
472,1987,5,293.767616270376,277.59444444444443,305.3722222222222,1980
473,1987,6,296.37685185185234,283.7055555555555,306.4833333333333,1980
474,1987,7,297.31965352449294,285.92777777777775,306.4833333333333,1980
475,1987,8,296.8902927120673,284.26111111111106,308.15,1980
476,1987,9,292.82901234567964,279.81666666666666,303.7055555555555,1980
477,1987,10,282.928225806452,268.7055555555555,298.15,1980
478,1987,11,281.9339506172842,264.81666666666666,299.81666666666666,1980
479,1987,12,275.9398060442045,263.15,288.7055555555555,1980
480,1988,1,270.8127837514938,253.70555555555552,289.26111111111106,1980
481,1988,2,272.4084610472544,254.81666666666663,291.4833333333333,1980
482,1988,3,278.8399641577065,265.3722222222222,298.15,1980
483,1988,4,284.8027777777779,270.92777777777775,302.0388888888889,1980
484,1988,5,291.3502392702262,277.59444444444443,305.92777777777775,1980
485,1988,6,295.97716049382757,279.26111111111106,311.4833333333333,1980
486,1988,7,299.01544205495816,282.59444444444443,312.0388888888889,1980
487,1988,8,298.2157108721629,284.26111111111106,310.92777777777775,1980
488,1988,9,292.54583333333335,278.7055555555555,302.59444444444443,1980
489,1988,10,282.2905316606933,268.7055555555555,297.0388888888889,1980
490,1988,11,280.5535493827159,268.7055555555555,293.7055555555555,1980
491,1988,12,274.21374981205867,259.81666666666666,290.92777777777775,1980
492,1989,1,276.6483572281965,265.92777777777775,290.92777777777775,1980
493,1989,2,272.2811177248683,258.15,292.0388888888889,1980
