,Year,Month,MinDryBulbTemp_NewYork,MinWetBulbTemp_NewYork,MinDewPointTemp_NewYork,MinHumidity_NewYork,MinSeaLevelPressure_NewYork,MinStationPressure_NewYork,MinWindspeed_NewYork,DECADE
421,1983,2,262.59444444444443,260.92777777777775,252.03888888888886,20.0,29.27,29.24,0.0,1980
422,1983,3,269.81666666666666,267.0388888888889,258.15,19.0,29.23,29.2,0.0,1980
423,1983,4,274.81666666666666,273.15,263.15,18.0,29.08,29.05,0.0,1980
424,1983,5,276.4833333333333,275.3722222222222,268.15,25.0,29.44,29.41,0.0,1980
425,1983,6,284.81666666666666,280.92777777777775,275.3722222222222,28.0,29.64,29.61,0.0,1980
426,1983,7,289.26111111111106,286.4833333333333,279.26111111111106,27.0,29.64,29.61,0.0,1980
427,1983,8,288.15,285.92777777777775,282.59444444444443,30.0,29.64,29.61,0.0,1980
428,1983,9,282.59444444444443,279.81666666666666,273.7055555555555,29.0,29.72,29.69,0.0,1980
429,1983,10,274.26111111111106,272.59444444444443,267.59444444444443,33.0,29.64,29.61,0.0,1980
430,1983,11,273.15,270.92777777777775,265.3722222222222,34.0,29.14,29.11,0.0,1980
431,1983,12,257.0388888888889,255.92777777777775,249.81666666666663,36.0,29.11,29.08,0.0,1980
432,1984,1,258.7055555555555,257.59444444444443,251.48333333333332,35.0,29.56,29.52,0.0,1980
433,1984,2,263.7055555555555,262.59444444444443,255.92777777777775,33.0,29.1,29.07,0.0,1980
434,1984,3,262.0388888888889,260.92777777777775,255.3722222222222,29.0,28.89,28.85,0.0,1980
435,1984,4,274.81666666666666,272.0388888888889,263.7055555555555,22.0,29.37,29.34,0.0,1980
436,1984,5,279.81666666666666,277.0388888888889,269.81666666666666,25.0,29.26,29.23,0.0,1980
437,1984,6,282.59444444444443,280.3722222222222,277.59444444444443,29.0,29.52,29.49,0.0,1980
438,1984,7,288.7055555555555,285.92777777777775,282.59444444444443,42.0,29.65,29.62,0.0,1980
439,1984,8,288.7055555555555,286.4833333333333,283.15,40.0,29.68,29.65,0.0,1980
440,1984,9,280.3722222222222,279.26111111111106,272.59444444444443,36.0,29.69,29.65,0.0,1980
441,1984,10,278.7055555555555,275.3722222222222,268.7055555555555,25.0,29.76,29.72,0.0,1980
442,1984,11,268.15,266.4833333333333,260.92777777777775,27.0,29.55,29.52,0.0,1980
443,1984,12,269.81666666666666,267.0388888888889,258.15,31.0,29.5,29.47,0.0,1980
444,1985,1,253.70555555555552,253.14999999999998,246.48333333333332,37.0,29.37,29.34,0.0,1980
445,1985,2,262.59444444444443,261.4833333333333,256.4833333333333,27.0,29.52,29.49,0.0,1980
446,1985,3,268.15,265.92777777777775,258.7055555555555,20.0,29.33,29.29,0.0,1980
447,1985,4,271.4833333333333,269.26111111111106,262.59444444444443,22.0,29.53,29.49,0.0,1980
448,1985,5,279.81666666666666,276.4833333333333,267.59444444444443,23.0,29.23,29.2,0.0,1980
449,1985,6,285.92777777777775,283.15,277.59444444444443,32.0,29.46,29.42,0.0,1980
450,1985,7,289.26111111111106,287.0388888888889,282.0388888888889,29.0,29.74,29.7,0.0,1980
451,1985,8,289.81666666666666,287.59444444444443,282.59444444444443,31.0,29.74,29.7,0.0,1980
452,1985,9,283.7055555555555,281.4833333333333,275.92777777777775,34.0,28.78,28.74,0.0,1980
453,1985,10,275.92777777777775,273.15,265.92777777777775,24.0,29.68,29.65,0.0,1980
454,1985,11,274.81666666666666,272.0388888888889,266.4833333333333,31.0,29.52,29.49,0.0,1980
455,1985,12,263.15,261.4833333333333,253.70555555555552,22.0,29.36,29.33,0.0,1980
456,1986,1,259.81666666666666,258.15,249.81666666666663,21.0,29.16,29.13,0.0,1980
457,1986,2,265.3722222222222,263.7055555555555,254.81666666666663,21.0,29.51,29.47,0.0,1980
458,1986,3,263.15,261.4833333333333,253.14999999999998,21.0,29.24,29.21,0.0,1980
459,1986,4,275.3722222222222,274.81666666666666,267.0388888888889,18.0,29.42,29.39,0.0,1980
460,1986,5,278.7055555555555,274.81666666666666,267.0388888888889,20.0,29.6,29.57,0.0,1980
461,1986,6,283.15,279.26111111111106,272.59444444444443,25.0,29.62,29.59,0.0,1980
462,1986,7,287.59444444444443,284.26111111111106,279.26111111111106,28.0,29.56,29.52,0.0,1980
463,1986,8,284.81666666666666,282.0388888888889,276.4833333333333,35.0,29.7,29.67,0.0,1980
464,1986,9,282.0388888888889,280.3722222222222,276.4833333333333,34.0,29.69,29.65,0.0,1980
465,1986,10,276.4833333333333,274.26111111111106,269.26111111111106,28.0,29.52,29.49,0.0,1980
466,1986,11,268.7055555555555,267.0388888888889,260.92777777777775,34.0,29.45,29.41,0.0,1980
467,1986,12,266.4833333333333,264.81666666666666,258.7055555555555,34.0,29.46,29.42,0.0,1980
468,1987,1,261.4833333333333,259.81666666666666,252.03888888888886,32.0,28.82,28.79,0.0,1980
469,1987,2,258.7055555555555,257.59444444444443,250.3722222222222,23.0,29.44,29.41,0.0,1980
470,1987,3,264.26111111111106,262.0388888888889,252.59444444444443,24.0,29.36,29.33,0.0,1980
471,1987,4,273.7055555555555,271.4833333333333,265.92777777777775,28.0,29.38,29.34,0.0,1980
472,1987,5,279.81666666666666,277.59444444444443,273.15,35.0,29.76,29.72,0.0,1980
473,1987,6,287.0388888888889,284.26111111111106,279.26111111111106,28.0,29.66,29.62,0.0,1980
474,1987,7,290.3722222222222,286.4833333333333,282.59444444444443,35.0,29.67,29.64,0.0,1980
475,1987,8,288.15,283.7055555555555,274.81666666666666,25.0,29.7,29.67,0.0,1980
476,1987,9,283.7055555555555,281.4833333333333,277.0388888888889,39.0,29.55,29.52,0.0,1980
477,1987,10,277.59444444444443,275.3722222222222,268.7055555555555,28.0,29.55,29.52,0.0,1980
478,1987,11,266.4833333333333,264.26111111111106,254.2611111111111,28.0,29.4,29.36,0.0,1980
479,1987,12,260.92777777777775,259.81666666666666,253.70555555555552,34.0,29.39,29.36,0.0,1980
480,1988,1,259.26111111111106,258.15,248.70555555555552,33.0,29.39,29.36,0.0,1980
481,1988,2,261.4833333333333,260.3722222222222,253.14999999999998,28.0,29.38,29.34,0.0,1980
482,1988,3,265.92777777777775,264.26111111111106,255.3722222222222,18.0,29.47,29.44,0.0,1980
483,1988,4,276.4833333333333,273.15,265.92777777777775,24.0,29.38,29.34,0.0,1980
484,1988,5,280.3722222222222,279.26111111111106,269.26111111111106,25.0,29.66,29.62,0.0,1980
485,1988,6,283.7055555555555,282.0388888888889,274.26111111111106,21.0,29.51,29.47,0.0,1980
486,1988,7,286.4833333333333,282.59444444444443,278.15,27.0,29.7,29.67,0.0,1980
487,1988,8,288.7055555555555,284.26111111111106,277.59444444444443,28.0,29.67,29.64,0.0,1980
488,1988,9,282.59444444444443,279.81666666666666,274.81666666666666,33.0,29.42,29.39,0.0,1980
489,1988,10,274.81666666666666,273.15,265.92777777777775,29.0,29.31,29.28,0.0,1980
490,1988,11,274.81666666666666,272.59444444444443,266.4833333333333,27.0,29.35,29.31,0.0,1980
491,1988,12,259.81666666666666,258.7055555555555,249.2611111111111,24.0,29.45,29.41,0.0,1980
492,1989,1,262.0388888888889,260.3722222222222,249.81666666666663,21.0,29.54,29.51,0.0,1980
493,1989,2,264.81666666666666,262.59444444444443,252.03888888888886,20.0,29.51,29.47,0.0,1980
494,1989,3,263.7055555555555,262.0388888888889,254.81666666666663,24.0,29.47,29.44,0.0,1980
495,1989,4,274.81666666666666,271.4833333333333,259.26111111111106,17.0,29.51,29.47,0.0,1980
496,1989,5,280.3722222222222,277.0388888888889,271.4833333333333,25.0,29.52,29.49,0.0,1980
497,1989,6,288.15,285.3722222222222,277.59444444444443,26.0,29.69,29.65,0.0,1980
498,1989,7,289.26111111111106,287.59444444444443,281.4833333333333,30.0,29.69,29.65,0.0,1980
499,1989,8,288.15,284.81666666666666,277.59444444444443,25.0,29.6,29.57,0.0,1980
500,1989,9,282.0388888888889,278.7055555555555,272.59444444444443,31.0,29.63,29.59,0.0,1980
501,1989,10,278.7055555555555,275.92777777777775,270.3722222222222,28.0,29.66,29.62,0.0,1980
502,1989,11,269.26111111111106,266.4833333333333,258.15,28.0,29.04,29.0,0.0,1980
503,1989,12,259.26111111111106,258.15,245.3722222222222,20.0,29.51,29.47,0.0,1980
504,1990,1,269.26111111111106,266.4833333333333,255.92777777777775,26.0,29.35,29.31,0.0,1990
505,1990,2,260.3722222222222,259.26111111111106,252.03888888888886,23.0,29.43,29.39,0.0,1990
506,1990,3,263.15,261.4833333333333,254.81666666666663,20.0,29.63,29.59,0.0,1990
507,1990,4,273.7055555555555,272.0388888888889,262.0388888888889,22.0,29.26,29.23,0.0,1990
508,1990,5,280.92777777777775,278.15,269.81666666666666,24.0,29.43,29.39,0.0,1990
