,Year,Month,AvgDryBulbTemp_NewYork,MinDryBulbTemp_NewYork,MaxDryBulbTemp_NewYork,DECADE
454,1985,11,283.27080640197045,274.81666666666666,297.0388888888889,1980
455,1985,12,274.6177177177184,263.15,285.92777777777775,1980
456,1986,1,274.15969425801677,259.81666666666666,289.26111111111106,1980
457,1986,2,272.8333664021169,265.3722222222222,282.0388888888889,1980
458,1986,3,279.3454898446837,263.15,297.0388888888889,1980
459,1986,4,284.3243827160496,275.3722222222222,298.15,1980
460,1986,5,291.1186800894856,278.7055555555555,308.15,1980
461,1986,6,294.95151024811247,283.15,305.92777777777775,1980
462,1986,7,297.4346475507769,287.59444444444443,309.26111111111106,1980
463,1986,8,295.9695376584642,284.81666666666666,304.81666666666666,1980
464,1986,9,292.8988056711364,282.0388888888889,303.7055555555555,1980
465,1986,10,287.7092841163315,276.4833333333333,300.3722222222222,1980
466,1986,11,280.92237654321076,268.7055555555555,294.81666666666666,1980
467,1986,12,277.26936936937,266.4833333333333,288.15,1980
468,1987,1,273.56218637992805,261.4833333333333,285.92777777777775,1980
469,1987,2,273.72539682539707,258.7055555555555,283.15,1980
470,1987,3,279.9152329749108,264.26111111111106,296.4833333333333,1980
471,1987,4,284.28503086419784,273.7055555555555,296.4833333333333,1980
472,1987,5,290.355047789726,279.81666666666666,308.15,1980
473,1987,6,295.80972222222255,287.0388888888889,307.59444444444443,1980
474,1987,7,298.15669344042846,290.3722222222222,307.0388888888889,1980
475,1987,8,296.32727001194803,288.15,306.4833333333333,1980
476,1987,9,292.9470679012345,283.7055555555555,301.4833333333333,1980
477,1987,10,285.61714456391917,277.59444444444443,294.81666666666666,1980
478,1987,11,282.1453703703713,266.4833333333333,297.59444444444443,1980
479,1987,12,277.4583746804999,260.92777777777775,287.59444444444443,1980
480,1988,1,272.0180089485467,259.26111111111106,284.81666666666666,1980
481,1988,2,274.79032567049825,261.4833333333333,289.26111111111106,1980
482,1988,3,279.16329151732464,265.92777777777775,295.92777777777775,1980
483,1988,4,283.0712962962967,276.4833333333333,293.7055555555555,1980
484,1988,5,289.48109619686875,280.3722222222222,304.26111111111106,1980
485,1988,6,295.34135802469143,283.7055555555555,309.81666666666666,1980
486,1988,7,298.55098566308294,286.4833333333333,310.3722222222222,1980
487,1988,8,298.91612903225837,288.7055555555555,309.26111111111106,1980
488,1988,9,293.0328787178304,282.59444444444443,302.59444444444443,1980
489,1988,10,284.80546594982087,274.81666666666666,299.26111111111106,1980
490,1988,11,282.76574074074085,274.81666666666666,290.3722222222222,1980
491,1988,12,275.7526161479483,259.81666666666666,287.59444444444443,1980
492,1989,1,276.22721027479093,262.0388888888889,287.59444444444443,1980
493,1989,2,274.4248015873024,264.81666666666666,291.4833333333333,1980
494,1989,3,278.3448924731193,263.7055555555555,299.81666666666666,1980
495,1989,4,283.4092592592598,274.81666666666666,295.3722222222222,1980
496,1989,5,289.8248805256874,280.3722222222222,302.59444444444443,1980
497,1989,6,295.3691358024694,288.15,307.59444444444443,1980
498,1989,7,297.5063321385905,289.26111111111106,307.59444444444443,1980
499,1989,8,297.08369175627314,288.15,307.0388888888889,1980
500,1989,9,293.941666666667,282.0388888888889,307.59444444444443,1980
501,1989,10,288.27544802867425,278.7055555555555,298.7055555555555,1980
502,1989,11,281.2070987654331,269.26111111111106,293.7055555555555,1980
503,1989,12,269.62646970380405,259.26111111111106,282.59444444444443,1980
504,1990,1,278.06338112305934,269.26111111111106,290.92777777777775,1990
505,1990,2,277.40843253968296,260.3722222222222,291.4833333333333,1990
506,1990,3,279.61654719235383,263.15,300.92777777777775,1990
507,1990,4,284.40328388193524,273.7055555555555,304.26111111111106,1990
508,1990,5,288.3508661887698,280.92777777777775,300.92777777777775,1990
509,1990,6,295.325154320988,284.81666666666666,304.81666666666666,1990
510,1990,7,297.74826762246107,287.59444444444443,308.15,1990
511,1990,8,297.5556152927124,288.15,305.3722222222222,1990
512,1990,9,293.46095679012393,282.0388888888889,304.26111111111106,1990
513,1990,10,290.3602747909203,276.4833333333333,303.15,1990
514,1990,11,283.56512345679045,273.7055555555555,298.7055555555555,1990
515,1990,12,279.3242595098482,268.15,291.4833333333333,1990
516,1991,1,275.0085722819603,260.92777777777775,285.3722222222222,1990
517,1991,2,277.6167658730167,264.26111111111106,294.26111111111106,1990
518,1991,3,280.0765232974911,269.81666666666666,297.0388888888889,1990
