,Year,Month,AvgDryBulbTemp_Atlanta,MinDryBulbTemp_Atlanta,MaxDryBulbTemp_Atlanta,DECADE
522,1991,7,299.6075866188774,294.26111111111106,307.59444444444443,1990
523,1991,8,298.6457379991026,289.81666666666666,308.15,1990
524,1991,9,296.5272538141471,282.0388888888889,308.7055555555555,1990
525,1991,10,290.92703106332186,277.0388888888889,300.92777777777775,1990
526,1991,11,283.38765432098813,269.81666666666666,297.0388888888889,1990
527,1991,12,282.4794241467452,269.81666666666666,298.7055555555555,1990
528,1992,1,279.98766427718067,265.3722222222222,289.81666666666666,1990
529,1992,2,283.8596104725416,269.26111111111106,296.4833333333333,1990
530,1992,3,285.2758960573483,269.81666666666666,299.81666666666666,1990
531,1992,4,289.74567901234616,272.0388888888889,302.59444444444443,1990
532,1992,5,293.0252986857826,280.92777777777775,304.26111111111106,1990
533,1992,6,296.42314814814864,287.0388888888889,306.4833333333333,1990
534,1992,7,299.1901732377543,293.15,308.15,1990
535,1992,8,297.0583034647556,286.4833333333333,308.15,1990
536,1992,9,295.521913580247,284.26111111111106,304.81666666666666,1990
537,1992,10,289.42538829151783,278.15,299.81666666666666,1990
538,1992,11,283.8081790123459,272.0388888888889,296.4833333333333,1990
539,1992,12,279.70991580213536,272.0388888888889,293.7055555555555,1990
540,1993,1,281.1924704650819,271.4833333333333,290.92777777777775,1990
541,1993,2,280.13542805100224,265.92777777777775,292.59444444444443,1990
542,1993,3,283.89522102747986,265.3722222222222,300.92777777777775,1990
543,1993,4,288.48950617283964,273.7055555555555,302.0388888888889,1990
544,1993,5,294.6867383512545,280.92777777777775,304.26111111111106,1990
545,1993,6,299.1530864197537,288.15,308.15,1990
546,1993,7,302.276344086022,293.7055555555555,312.0388888888889,1990
547,1993,8,300.49185733512815,293.7055555555555,308.7055555555555,1990
548,1993,9,297.6438271604941,283.15,308.15,1990
549,1993,10,290.2572281959385,274.81666666666666,303.15,1990
550,1993,11,285.01574074074097,272.0388888888889,299.81666666666666,1990
551,1993,12,280.24453405017954,267.59444444444443,292.59444444444443,1990
552,1994,1,277.67658303464776,258.7055555555555,294.26111111111106,1990
553,1994,2,283.3541997354506,267.59444444444443,299.26111111111106,1990
554,1994,3,287.24348864994033,273.15,303.15,1990
555,1994,4,292.78811728395067,275.92777777777775,304.26111111111106,1990
556,1994,5,293.8608721624854,281.4833333333333,304.81666666666666,1990
557,1994,6,299.4038580246918,293.15,307.59444444444443,1990
558,1994,7,298.500680424705,292.0388888888889,306.4833333333333,1990
559,1994,8,298.89596774193615,292.0388888888889,307.59444444444443,1990
